FROTA;ANO;MES;LAT;LON;EFF;LAGE;BRANCA;BANDOLIM
BRA-ESP;2001;6;20;20;5500;1769,58;2626,12;670,09
BRA-ESP;2001;6;20;25;47450;16638,12;6104,26;8941,69
BRA-ESP;2001;7;10;25;13745;2175,25;355,95;5343,77
BRA-ESP;2001;7;15;15;1000;339;226;107,35
BRA-ESP;2001;7;15;25;106810;23989,9;5198;15841,47
BRA-ESP;2001;7;15;30;28640;1919,87;1587,65;6935,94
BRA-ESP;2001;7;20;25;32400;27364,08;2863,42;716,42
BRA-ESP;2001;8;10;25;4600;581,95;84,75;466,69
BRA-ESP;2001;9;0;25;3940;442,96;39,55;141,25
BRA-ESP;2001;9;5;20;12000;5123,42;3978,73;2837,43
BRA-ESP;2001;9;5;25;28155;1525,5;531,1;489,29
BRA-ESP;2001;10;5;25;47957;2256,61;4407;3291,69
BRA-ESP;2001;10;5;30;6000;2337,97;265,55;1833,99
BRA-ESP;2001;10;10;30;6062;2005,75;2429,5;1891,62
BRA-ESP;2001;10;10;35;3000;1062,2;762,75;836,2
BRA-ESP;2001;10;15;35;6818;282,5;75,71;169,5
BRA-ESP;2001;11;0;30;5000;2389,95;2271,3;1628,33
BRA-ESP;2001;11;0;35;3000;948,07;1443,01;430,53
BRA-ESP;2001;11;5;25;139935;2632,9;1734,55;16989,55
BRA-ESP;2001;11;5;30;12050;3256,66;3142,53;1111,92
BRA-ESP;2001;11;5;35;2000;1158,25;553,7;401,15
BRA-ESP;2001;11;10;30;20975;6896,39;4634,13;2378,65
BRA-ESP;2001;11;10;35;10000;7128,04;1898,4;1469
BRA-ESP;2001;11;15;35;5000;1397,81;1544,71;1309,67
BRA-ESP;2001;12;5;30;5000;1177,46;1716,47;821,51
BRA-ESP;2001;12;20;20;52707;21922;791;6305,4
BRA-ESP;2001;12;20;25;124222;112909,6;10797,15;12174,62
BRA-ESP;2002;1;20;25;66762;12689,9;8337,14;8517,94
BRA-ESP;2002;1;20;30;7450;2221,58;1452,05;1405,72
BRA-ESP;2002;1;20;45;1050;310,75;84,75;293,8
BRA-ESP;2002;6;15;25;15523;1997,84;90,4;2813,7
BRA-ESP;2002;6;15;30;13967;2047,56;67,8;2904,1
BRA-ESP;2002;7;15;35;7320;2949,3;237,3;1578,61
BRA-ESP;2002;8;25;40;4600;2037,39;1609,12;88,14
BRA-ESP;2002;9;25;45;13980;13130,6;2585,44;46,33
BRA-ESP;2002;9;30;45;900;774,05;107,35;33,9
BRA-ESP;2002;11;25;40;3100;701,73;42,94;45,2
BRA-ESP;2002;12;20;25;43533;339;452;305,1
BRA-ESP;2002;12;20;30;7150;2892,8;1485,95;2378,65
